year,Cityid,地区,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口,城镇常住人口万人,年末单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,在岗职工平均人数万人,在岗职工工资总额万元,职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,棉花产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,产品销售收入万元,利税总额万元,本年应交增值税万元,利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,流动资产合计万元,固定资产合计万元,主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售贸易业商品销售总额万元,限额以上批发零售贸易企业数个,当年新签项目个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通本专科在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业技术学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,RD人员人,RD内部经费支出万元,专利申请数件,专利授权数件,发明专利授权数件,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,博物馆数个,体育场馆数个,卫生机构数个,医院卫生院数个,医院卫生院床位数张,医生数人,客运总量万人,铁路旅客运量万人,公路客运量万人,水运客运量万人,民用航空客运量人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,水运货运量万吨,民用航空货邮运量吨,年末邮政局数处,邮政业务总量万元,电信业务总量万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇生活消费用电万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,可吸入细颗粒物年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,城镇基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张,Population_density,Popjuniorcollege,Popcollege,Human_capital_index,GDP_10000yuan,PM25,ResidentsPop,RegisteredPop,Population_mobility_rate,Housing_price
2013,350100,福州,46784951,4023505.786,21333937.656,21427507.558,8.6,45.6,45.8,71427,655.5,,,655.4,,,,13.9,,,142.8,942985,33750,.2,83.36,59.19,.14,58.4,41.46,.2,.11,43.57,1.55,38.13,5.02,1.71,7.6,2.49,3.31,3.6,4.76,3.85,1.44,.3,10.91,5.07,1.38,7.75,,,,,,,,,131,6997971,53334.13,13066,,,502,,10.91,55.53,5.09,,3236700,454600,275600,16900,2076954,106300,2205,1508,371,326,67863287,37948948,15814137,14100202,,,,2016718,4225103,,,24197301,16524016,496393,38342181,12647907,8654077,26817155,42280399,1537,135,,143036,,,4539690,,5338424,86258,1081133,81598854,89501389,32966518,32,322,905,56,19248,24276,25394,4697,318343,,29.81,46.92,271302,166265,93413,414,254,,,,,,14,31,3837,59,,,2066,230,29146,16880,19524,,18531,100,8930000,19540,,12234,7295,110000,232,71800,1069000,214,902,1970000,,,,,,4682,,,76043,,,240433,2918549,43400,,,92.61,,94.31999999999999,88.34999999999999,,,1643366,1418285,1100977,,,,,501.68,,318343,485.6491228070175,46784951,,7.6,6.654949,.142007249041278,13024.91666666667
2014,350100,福州,51691647,4161177.584,23519699.385,24010770.032,8.050000000000001,45.5,46.45,69995,674.9,,,670.2,,,,13,,,149.17,1053932,33284,.252,88.806,60.111,.17,59.53,40.3,.252,.118,39.598,1.802,47.288,5.021,1.757,7.104,2.41,3.488,3.876,3.968,4.111,1.748,.362,11.467,5.307,1.384,8.106999999999999,,,,,,,,,131,7720730,58838.06,13066,,,517,,10.1,,,,,,,,,,2275,1610,349,316,74952563,43544659,16588369,14819535,,,,2061830,4063654,,,26309802,18976252,399789,43886168,14550729,9265800,30629431,49289860,1768,135,,154651,,,5108707,,5748081,93278,1206466,97668509,97310294,34837219,32,321,905,53,19639,24177,26303,4690,320844,,29.81,49.93,224212,12277,101092,475,18,,,,,,,36,7923,117,,,,230,29563,17847,13785,,12700,150,9350000,23093,,14917,8164,120000,237,278400,1080969,195,945,2080000,,,,,,4681,,,56385,,,231020,2886372,105712,,,99.48999999999999,,95.97,93.59999999999999,,,1673735,2778181,1124516,,,,,516.5599999999999,,320844,475.3948733145651,51691647,,7.75,6.749436,.148244090321028,13904.83333333333
2015,350100,福州,56180844,4348397.326,24494847.984,27337598.69,7.74,43.6,48.66,75259,678.36,,,676.6,,,,10.7,,,156.277,1228274,33513,.25,92.496,63.53,.16,59.19,40.65,.25,.119,39.418,1.606,51.354,5.07,2.818,7.729,2.391,3.506,4.228,4.28,4.291,1.547,.365,11.156,5.326,1.612,9.211,,,,,,,,,138,8647321,62478,12675,,,535,,9.6,,,,,,,,,,2302,1665,346,291,78450045,49796464,16737558,11916023,,,,1670570,3844269,,,28080337,20819615,490665,48536112,13811248,8566533,34887426,53133176,1910,339,,167852,,,5604635,,7259345,100554,1351744,106384435,108756176,36852348,32,322,893,53,19982,24091,27251,4703,320965,,30,52.29,,101619,,473,150,,,,,,,,8358,123,,,,232,30946,18307,,,12729,196,10890000,,,16971,8925,116497,238,315315,1113262,184,908,2070000,,,,,,4439,,,55370,,,176146,2350083,90911,,,97.81,,95.34999999999999,88.2,,,1768446,1524422,1152718,,,,,534.91,,320965,473.1484757355976,56180844,,7.8,6.783656,.149822455619802,14130.16666666667
2016,350100,福州,61976395,4920925.763,25906133.11,31149336.127,7.94,41.8,50.26,82251,687,,,683,,,,10.69,,,156.827,1465818,33644,.246,91.43300000000001,65.148,.16,58.3,41.54,.246,.118,37.946,1.705,51.664,4.532,2.678,7.534,2.488,3.349,4.422,5.671,4.278,1.591,.493,11.753,5.633,1.445,9.282,,,,,,,,,139,9378510,67630,12675,,,,1734700,8.5,,,,,,,,,,2220,1645,314,261,84196464,53696433,18116543,12383488,,,,1626892,4771066,,,29948760,23113851,390396,51843601,16794355,11235935,37631418,53486552,2039,483,,181372,,,5989113,,8299274,112461,1530806,121246927,120765033,40875352,32,319,900,52,19822,24243,26421,4573,317477,,31,54,,92392,,,,,,,,,,,4937,,,,,230,31637,18841,,,10152,188,11610000,,,15694,9797,121657,238,403617,1060425,181,868,2450000,,,,,,3696,,,39196,,,133443,1695547,67548,,,98.75,,97.55,93.20999999999999,,,1898409,1549487,1195108,,,,,,,317477,462.1208151382824,61976395,,7.87,6.870648,.145452364900661,16619.5
2017,350100,福州,,,,,,,,93290,693,,,690,213,123655,83239,5.83,,,158.772,1690081,34191,.295,90.286,68.191,.19,56.87,42.95,.295,.096,35.364,1.732,53.093,4.753,4.071,7.653,2.557,3.659,4.342,6.295,3.214,1.477,.8179999999999999,11.977,5.838,1.412,10.126,,,,,,,,,136,10236285,75133,12251,,,,951500,,,,,,,,,,,2213,1655,306,252,,,,,,,,1643790,5153807,,,33158571,25296386,423789,,16941798,11769854,41938675,60396083,2227,362,,198527,,,6341633,,9388572,196765,1557755,133204125,131366751,43852958,35,315,897,49,19955,25755,26701,4343,,313857,32,55,,84331,,,,62160,1549977,25580,11266,2725,,,8450,,37,85,,116,30152,20417,,,9390,190,12470000,,,17673,10551,125603,,461427,1106600,,890,2860000,4562487,2665723,531523,,,4390,,,34137,,,,,48554,28579,,99.98999999999999,,97.36,82.73999999999999,27,,2063452,1629978,1232208,,,,,,313857,313857,452.8961038961039,,27,8.06,6.933529,.162467193834482,24572.91666666667
2018,350100,福州,78568123,4949791.749,32047937.372,41570393.879,6.3,40.79,52.91,102037,703,,,698,217,108255,39114,9.84,,,174.229,1928158,34515,.195,102.508,71.526,.11,58.84,41.05,.195,.083,34.728,7.682,60.016,3.77,5.37,7.485,3.047,3.602,5.016,7.11,3.449,1.363,.757,12.548,5.822,1.507,10.68,,,,,,,,,151,12549728,83175,12255,,,,743900,8.6,,,,,,,,,,2240,1710,288,242,,,,,,,,1674226,5921525,,,35163195,25510366,429520,,14396795,9664337,46664607,81664178,2570,514,,77897,7946527,16586347,6803797,,9247552,290765,1659184,149173981,138273986,50532878,34,320,895,47,20523,24737,29337,4354,,319943,33,57,,86149,,,,69751,1806577,35275,18318,2912,,,10810,,37,34,,128,32569,22413,,,9484,187,14390000,,,18018,12076,133189,,536371,1141163,,996,3500000,4988890,2937533,559028,,,4710,,,32441,,,,,55301,30258,,100,,96.53,91.81,,,2146221,1695338,1238601,,,,,,319943,319943,455.1109530583215,78568123,,8.17,7.026617,.162721690964514,25964.91666666667
2019,350100,福州,93920000,5268912,38309968,50350512,5.61,40.79,53.61,120879,710,,,706,221,91419,39896,7.26,,,176.193,2041781,35726,.104,99.699,76.39,.06,56.59,43.36,.104,.036,29.381,7.373,62.909,4.424,4.792,7.483,2.573,6.779,4.837,7.164,3.776,1.716,.646,13.878,6.464,1.564,10.292,,,,,,,,,149,13289772,88952,12255,,,,743900,7.9,,,,,,,,,,2539,2011,278,250,,,,,,,,1311773,5951204,,,36829475,25525949,437710,,18127732,12888421,41989358,88810035,2933,310,,94116,7836899,18429718,6680760,,9497604,287913,1819641,171373708,153674681,60271085,35,326,893,45,21334,25216,30484,4357,,340330,35,59,,85918,,,,73268,2017043,29487,19262,3389,,,11390,,38,34,,140,33321,24363,,,9128,169,14760000,,,16604,14111,131072,,608906,1065172,,994,3700000,5173240,2990002,586544,,,6255,,,35854,,,,,68907,31947,,100,,95,94.66,,,2200902,1594228,1307643,,,,,,340330,340330,479.3380281690141,93920000,,8.24,7.10085,.160424456227071,24825.5
2020,350100,福州,100200000,5611200,38406660,56182140,5.6,38.33,56.07,121015,,,,,,,,,832,603,156.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,12825841,96478,,,,,573800,5.11,,,,,,,,,,2662,2167,250,245,,,,,,,,,5226558,,,36192316,,,,,,42256055,103932956,3918,,,,7931102,18454619,6756083,,9514035,432935,1851895,193080178,173829849,,34,328,890,40,21908,25759,30971,4340,,363738,37,60,,96992,,,,,,,25535,3417,,,12190,,42,,,139,34495,25459,,,5512,,,,,17499,,,,,,,,,,,,12276,778,,,,13237,,,,,18876,34460,,100,,,95.28,21,,2215488,1712392,1410250,,,,,,363738,363738,507.6594556873691,100200000,21,8.32,7.154084,.162972086992549,23877.08333333333
2021,350100,福州,113240000,6375412,42895312,63980600,5.63,37.88,56.5,135298,723,426,,,,,,,,,145.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,14211914,108133,,,,,790000,8.35,,,,,,,,,,2854,2378,239,237,,,,,,,,,8522851,,,41277659,,,,,,45494113,126741290,4321,,,,12202701,22917421,7498470,,9252559,394536,1901386,211856950,187452094,,35,328,883,40,22106,27026,33578,4577,,386547,38,60,,96533,,,,,,,29994,4168,,,13070,,42,,,144,36546,26894,,,3736,,,,,21858,,,,849051,1203773,,988,4020000,,,,12217,778,,,,12635,,,,,18922,28970,,100,,,96.81999999999999,21,,2404162,1755833,1508012,156,146,23341,22079,,386547,386547,534.643153526971,113240000,21,8.42,7.233587,.16401447857059,24010.28571428571
2022,350100,福州,123080000,6830940,46573472,69675588,5.55,37.84,56.61,145936,729,433,,,,,,,,,137.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,14346877,,,,,,900000,4.42,,,,,,,,,,2894,2441,226,227,,,,,,,,,5564949,,,43466398,,,,,,46795215,149496064,5084,,,,11798745,26788133,6985234,,10060892,251025,2064007,228109548,208424674,,35,334,876,40,24002,28250,34647,4797,,413386,39,61,,98773,,,,,,,28922,5385,,,13690,,42,,,146,37978,27807,,,2894,,,,,20745,,,,1166255,1280269,,986,,,,,11648,764,,,,11231,,,,,,26378,,100,,,97.98,18,,2795513,1824859,1583195,157,148,23770,22485,,413386,413386,567.0589849108368,123080000,18,8.448,7.292177,.158501775258609,
2011,350200,厦门,25393132,246313.38,12970811.826,12176006.794,.97,51.08,47.95,70832,185.3,,,182.7,,,,7.4,,,110.5,1181604,26600,.24,78.98,31.28,.22,71.48,28.31,.24,.02,57.81,.64,20.51,4.59,.84,4.82,3.21,1.62,3.21,1.38,.73,.79,.73,3.9,1.95,.57,2.94,,,,,,,,,109,5047980,46413.94,1573,,,1178,,15.1,4.2,.91,,580100,23500,55300,600,32499,4500,1502,711,427,364,43995176,10422571,11572567,22000038,,,,698418,3005777,,,22033361,9782734,596714,11280872,4381217,2589484,8002779,54534602,1320,368,,172566,,,3707718,,3890726,121892,583700,43407040,49574617,15587417,17,94,291,22,8798,8983,9468,1365,135722,,12.33,20.77,77263,34552,16175,733,187,,,,,,9,5,4606,249,,,965,51,10623,8554,13883,1013,10487,808,15760000,11932,830,6943,4133,260600,88,208000,630800,154,524,1006700,,,,,,31423,,,19108,,,51324,488938,3131,,,98.31999999999999,92,,90.40000000000001,,,1941400,2592900,1486500,,,,,1177.75,,135722,732.4446842957366,25393132,,,,,18138
2012,350200,厦门,28170697,250719.203,13738848.927,14178311.8,.89,48.77,50.33,77392,190.9,,,188.1,,,,11,,,118.1,1303577,32400,.23,82.7,35.12,.14,69.64,30.22,.23,.02,57.95,.71,23.53,5.28,.91,5.91,3.36,1.86,3.5,1.53,.84,.96,.78,4.34,2.08,.71,3.06,,,,,,,,,116,6101633,52672.94,1573,,,1214,,12.1,4.1,.89,,580000,22000,51000,800,29610,4800,1658,819,440,399,44863499,10496926,12450528,21916045,,,,784051,2473038,,,24493185,10299031,703393,13229846,5188791,2916063,8819062,54575084,1373,331,,159453,,,4229089,,4609779,138129,707102,45559103,51514025,16801926,17,95,287,21,9180,9097,9877,1445,143964,,12.54,22.35,81154,37894,15775,754,198,,,,,,10,5,6139,322,,,936,51,11311,8664,14544,1165,10824,820,17350000,13642,998,8083,4534,271500,91,250200,750400,155,586,1290000,,,,,,26948,,,18526,,,49957,488518,2507,,,99,,95.98,90.7,,,2104585,2806600,1604500,,,,,1213.73,,143964,754.1330539549502,28170697,,,,,15488.16666666667
2013,350200,厦门,30181565,259561.459,14348316.001,15573687.54,.86,47.54,51.6,153206,196.8,,,193.9,,,,11.2,,,130.3,1253677,30600,.22,89.92,40.12,.17,69.03,30.8,.22,.02,54.08,.66,35.16,6.38,1.32,6.52,3.43,1.86,3.96,2.52,1.46,1.06,.62,4.74,2.21,.89,3.15,,,,,,,,,106,6137515,58005.06,1573,,,1251,,7.14,3.88,.87,,579400,11000,54000,700,31535,3700,1668,860,417,391,47162101,11562766,13055672,22543663,,,,823311,2345251,,,25804379,11102091,756597,13372572,5318029,3041899,9745064,63862199,1346,331,,185608,,,4905996,,5167402,163750,794507,58435408,63806315,19501009,17,95,289,21,9639,9301,10908,1606,152546,,13.09,24.09,84599,40403,16632,430,205,,,,,,13,5,4557,231,,,942,53,12170,8669,14812,1383,10726,728,19750000,15739,1099,9393,5217,300000,90,218400,765500,174,628,1370000,,,,,,27256,,,18772,,,54309,440731,2100,,,99.2,,94.18000000000001,91.59999999999999,,,2223000,1953400,1696400,,,,,1250.99,,152546,775.1321138211382,30181565,,,,,20757.16666666667
2014,350200,厦门,32735772,235697.558,14603427.889,17896646.552,.72,44.61,54.67,86832,203.4,,,200.1,,,,11.3,,,133.907,1296189,26700,.178,88.154,45.575,.13,65.83,34.04,.178,.003,51.913,.751,35.487,6.36,2.048,7.224,3.485,2.785,4.565,3.341,1.839,1.16,.655,5.397,2.538,.885,3.291,,,,,,,,,109,6886424,63062.49,1573,,,1293,,9.199999999999999,,,,,,,,,,1701,924,396,381,48949307,13579993,13539011,21830303,,,,844777,2375472,,,27328520,11619149,745219,15621577,7040636,3846244,10722833,73311234,1492,331,,197101,,,5437986,,5482525,173878,890941,66439811,70646124,19720201,17,90,296,21,9825,9961,13169,1966,158346,,13.64,26.02,86129,35330,25233,778,174,,,,,,,5,5036,248,,,,56,12435,9185,7916,1853,3327,650,20860000,23545,982,16285,6247,310000,91,268400,1139900,136,564,1460000,,,,,,27380,,,16144,,,54056,423863,4561,,,99.90000000000001,,97.95,88.01000000000001,,,2268800,3142800,1772200,,,,,1293.32,,158346,778.4955752212389,32735772,,4.41,2.034393,1.16772275563276,24708.08333333333
2015,350200,厦门,34660288,239155.987,15111885.568,19309246.445,.6899999999999999,43.6,55.71,90379,211.15,,,207.3,,,,13.07,,,136.77,1717601,25500,.17,87.60299999999999,48.996,.12,64.05,35.82,.17,.003,48.298,.761,38.541,6.765,2.786,7.778,3.527,3.303,4.954,3.267,1.82,1.305,.956,5.605,2.63,.858,3.442,,,,,,,,,115,7629654,66930,1699,,,1242,,7.2,,,,,,,,,,1766,996,411,359,50286788,15698806,15130855,19457127,,,,842709,1851249,,,28926348,11736311,825415,18876528,7440727,4586958,11684228,82977234,1812,726,,209373,,,6060967,,6511705,185764,1018751,75670022,88762527,20502746,16,92,302,21,9303,10445,14399,2026,143992,,14.03,27.89,,42668,,682,202,,,,,,,,5441,258,,,,58,13380,9953,,,3627,779,21810000,,,18680,7372,310600,91,351500,1422600,131,584,1440000,,,,,,21398,,,17028,,,54057,382164,2414,,,100,,93.09999999999999,93.62,,,2121800,2122300,1824100,,,,,1241.91,,143992,681.9417475728155,34660288,,4.54,2.111465,1.150165880088,25512.83333333333
2016,350200,厦门,37842662,230840.238,15447374.628,22164447.133,.61,40.82,58.57,97282,221,,,216,,,,16.14,,,139.151,2130052,27100,.158,87.964,51.028,.11,63.22,36.67,.158,.003,46.088,.774,41.1,6.552,2.724,7.481,3.609,3.512,5.309,3.364,2.02,1.468,1.615,6.049,2.868,.9340000000000001,3.524,,,,,,,,,132,9068265,69218,1699,,,,251290,7.9,,,,,,,,,,1719,1001,394,324,51979798,17895080,15159571,18925147,,,,789640,2878578,,,34518959,12658317,726309,21598097,7657970,4280550,12834595,93661767,1864,1278,,222401,,,6479366,,7586381,212673,1090629,77449945,91884883,21720007,16,93,300,21,9284,10785,15405,2097,142948,,15,30,,44162,,,,,,,,,,,5874,,,,,60,13971,11119,,,4139,791,22740000,,,19008,8100,328400,91,461700,2099000,130,571,1690000,,,,,,18259,,,4033,,,19926,300587,1183,,,98,,84.44,94,,,2211000,2231600,1924600,,,,,,,142948,646.8235294117648,37842662,,4.65,2.205489,1.10837596560219,32629.91666666667
2017,350200,厦门,,,,,,,,109740,231,,,226,74,54931,13746,17.83,,,145.994,2326655,30700,.163,91.149,54.682,.11,62.43,37.46,.163,.002,46.723,.722,43.702,6.666,3.321,8.23,3.598,3.813,5.274,3.886,2.2,1.549,2.276,6.337,2.982,1.001,3.549,,,,,,,,,139,10221752,75452,1701,,,,92090,,,,,,,,,,,1894,1207,376,311,,,,,,,,832026,3509287,,,34751995,13000734,808538,,8798628,5503647,14467448,117527613,1902,1145,,237830,,,6968660,,7970976,237386,1231528,88505840,100151161,22920560,16,95,298,20,9300,11412,16645,2235,,140266,16,31,,43423,,,,56704,1423882,24599,14678,2333,,,6730,,4,79,,51,14106,12705,,,4336,707,24490000,,,20650,8801,338700,,563900,1452400,,596,2090000,2489140,1258177,387984,,,21465,,,2525,,,,,734,2648,,100,,91.02,95.77,27,,2500000,2427500,2110900,,,,,,140266,140266,607.2121212121212,,27,4.78,2.310279,1.06901417534419,46120.58333333334
2018,350200,厦门,47914131,244362.068,19802910.342,27866858.59,.51,41.33,58.16,118015,243,,,237,78,46624,9580,15.27,,,155.591,2687690,28400,.18,96.819,58.592,.12,62.23,37.66,.18,.002,45.517,.528,50.773,7.396,3.917,8.246,4.051,3.544,5.585,4.682,2.157,1.679,1.584,7.247,3.119,1.036,4.349,,,,,,,,,146,12140997,85166,1701,,,,94220,7.7,,,,,,,,,,1985,1294,371,320,,,,,,,,858391,3376144,,,38576099,14731577,860991,,8845759,5363167,15424224,128067305,1960,1215,,172500,26635376,33385124,7545412,,8924985,285559,1363853,97596068,104467952,26101770,16,97,301,20,9324,12178,17211,2342,,162459,17,33,,41097,,,,71163,1551482,32234,21393,2214,,,6520,,4,65,,54,15342,13830,,,3951,742,26550000,,,20900,9904,345500,,703600,3287200,,631,2380000,2695890,1356545,419728,,,23546,,,847,,,,,639,2765,,100,,87.41,94.34999999999999,25,,2680600,2574000,2245000,,,,,,162459,162459,668.5555555555555,47914131,25,4.96,2.425251,1.04514914126414,45220.75
2019,350200,厦门,59950000,263780,24939200,34747020,.44,41.6,57.96,142739,261,,,252,82,46235,10093,13.84,,,126.903,2531450,24900,.017,67.151,59.735,.01,52.92,47.07,.017,,42.137,.738,24.276,7.463,3.451,7.302,4.014,3.829,5.741,4.107,1.966,1.901,2.152,7.38,3.327,.883,6.219,,,,,,,,,108,10942176,97779,1701,,,,109380,7.9,,,,,,,,,,2309,1595,374,340,,,,,,,,971006,3577976,,,39485947,14361856,980038,,8995349,5592424,22579165,147358462,2766,1322,,197995,28841816,35287089,7683751,,9129770,384332,1476725,110415642,110959433,30622136,16,100,296,20,9549,12947,18264,2364,,156642,18,35,,40882,,,,70434,1776588,34626,23013,2672,,,7090,,4,59,,63,17539,15207,,,4137,752,27410000,,,23159,11594,330100,,1022500,5102200,,649,2360000,2829763,1376274,442390,,,24039,,,829,,,,,639,2764,,100,,87.98999999999999,92.7,24,,2927800,2738800,2406600,,,,,,156642,156642,600.1609195402299,59950000,24,5.12,2.611003,.960932254769527,45161.91666666666
2020,350200,厦门,63840000,287280,25197648,38355072,.45,39.47,60.08,123962,,,,,,,,,518,463,126.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,11439714,108554,,,,,54530,5.7,,,,,,,,,,2420,1712,354,354,,,,,,,,,4656564,,,44045949,,,,,,22938702,195200751,3261,,,,33428459,35729249,7839392,,9769054,412243,1599003,126879900,125533800,,16,111,291,13,10092,13837,18997,2040,,169288,19,37,,34535,,,,,,,29598,3066,,,8410,,4,,,62,18238,16121,,,1154,,,,,20713,,,,,,,,,,,,2223,142,,,,427,,,,,3643,2176,,100,,,94.55,18,,3180800,2952057,2583700,,,,,,169288,169288,622.3823529411765,63840000,18,5.18,2.731781,.896198853421998,47771.66666666666
2021,350200,厦门,70340000,288394,28832366,41219240,.41,40.99,58.6,134491,283,247,,,,,,,,,123.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,12823973,119483,,,,,60000,8.050000000000001,,,,,,,,,,2747,2025,353,369,,,,,,,,,6655945,,,51496595,,,,,,25840733,292887086,4029,,,,45692234,43073015,8809611,,10600015,505626,1791918,145829600,140551600,,16,115,297,13,10748,15055,20144,1837,,178179,21,39,,37975,,,,,,,36536,3779,,,9000,,4,,,65,19153,16859,,,1090,,,,,25290,,,,904877,746582,,666,2630000,,,,2148,142,,,,402,,,,,556,2473,,100,,,100,20,,3308400,3088600,2703300,86,44,13703,12248,,178179,178179,629.6077738515901,70340000,20,5.28,2.828052,.8670095175053359,49736.71428571428
2022,350200,厦门,78030000,296514,32335632,45397854,.38,41.44,58.18,147387,293,257,,,,,,,,,120.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,14262474,,,,,,120000,4.35,,,,,,,,,,3059,2321,362,376,,,,,,,,,5557939,,,58056218,,,,,,26653620,366511987,4631,,,,45626253,46551255,8838107,,10887431,602411,1956311,166903414,153662061,,16,122,300,13,11233,16424,22112,2099,,182439,22,40,,39834,,,,,,,38442,5274,,,10540,,4,,,68,21410,17562,,,1469,,,,,25755,,,,869013,781042,,680,,,,,2153,142,,,,339,,,,,,2284,,100,,,100,17,,5117200,3202700,2873000,95,45,14002,12324,,182439,182439,622.6587030716723,78030000,17,5.308,2.930022,.811590493177184,
2013,350300,莆田,13428623,1129347.194,7595229.169,4704046.637,8.41,56.56,35.03,40205,334.2,,,331.8,,,,13.8,,,46.6,247619,6958,.02,34.3,12.32,.04,73.54000000000001,26.42,.02,.15,20.49,.45,13.21,.6,.3,1.56,.44,1.03,.52,.2,.18,.19,.03,3.84,1.23,.17,2.03,,,,,,,,,42,1858983,43864.63,4131,,,809,,11.65,28.15,4.72,,1162700,200900,133500,15400,788725,40500,1029,812,151,66,20089195,13705090,3797418,2586687,,,,463143,1531362,,,5886002,3841365,144399,11645376,2833227,1665030,4441346,7002311,542,35,,30165,,,949205,,1441627,26022,429483,10671860,12780568,7736442,2,144,495,20,887,14469,13534,1394,18322,,16.95,21.81,111068,44147,8787,332,132,,,,,,3,4,868,26,,,329,82,10088,4630,6686,293,6170,223,,3767,,3208,559,,60,89500,266077,66,282,1210000,,,,,,1852,,,11227,,,62657,216175,4500,,,99.09999999999999,,100,85.5,,,319040,319803,241263,,,,,808.93,,18322,54.82345900658289,13428623,,2.83,3.341721,-.153130976523773,
